INDEX	H2	H2_SE	H2_CHISQ	H2_P	GC	GC_SE	GC_CHISQ	GC_P
91	9.25581e-02	1.28653e-02	5.17594e+01	6.27363e-13	-1.25942e-01	7.13226e-02	3.11807e+00	7.74282e-02
92	1.61810e-01	1.31459e-02	1.51505e+02	8.12748e-35	-9.14126e-02	5.41981e-02	2.84474e+00	9.16733e-02
93	1.30332e-01	1.30219e-02	1.00174e+02	1.39611e-23	-9.08905e-02	6.06912e-02	2.24277e+00	1.34240e-01
94	1.61786e-01	1.31458e-02	1.51464e+02	8.29845e-35	-7.92646e-02	5.46237e-02	2.10570e+00	1.46751e-01
95	1.19267e-01	1.29769e-02	8.44689e+01	3.90299e-20	-7.29057e-02	6.34384e-02	1.32074e+00	2.50459e-01
96	1.59779e-01	1.31381e-02	1.47903e+02	4.98133e-34	-7.19527e-02	5.51772e-02	1.70049e+00	1.92223e-01
97	1.29192e-01	1.30173e-02	9.84989e+01	3.25210e-23	-6.90203e-02	6.15944e-02	1.25566e+00	2.62475e-01
98	1.47033e-01	1.30884e-02	1.26200e+02	2.78021e-29	-6.71503e-02	5.80286e-02	1.33909e+00	2.47194e-01
99	8.80177e-02	1.28459e-02	4.69473e+01	7.29217e-12	-2.12089e-02	7.46802e-02	8.06538e-02	7.76413e-01
100	9.74019e-02	1.28859e-02	5.71358e+01	4.06744e-14	1.37767e-02	7.12270e-02	3.74109e-02	8.46631e-01
101	8.41753e-02	1.28294e-02	4.30485e+01	5.33997e-11	-3.62455e-02	7.58894e-02	2.28111e-01	6.32928e-01
102	9.70989e-02	1.28846e-02	5.67921e+01	4.84402e-14	1.29095e-03	7.01073e-02	3.39074e-04	9.85309e-01
103	8.54501e-02	1.28349e-02	4.43243e+01	2.78237e-11	-5.57473e-02	7.44165e-02	5.61189e-01	4.53782e-01
104	1.12565e-01	1.29493e-02	7.55646e+01	3.53639e-18	6.41153e-03	6.13394e-02	1.09256e-02	9.16752e-01
105	9.93064e-02	1.28939e-02	5.93179e+01	1.34152e-14	-2.56050e-02	6.80619e-02	1.41528e-01	7.06767e-01
106	8.94157e-02	1.28519e-02	4.84054e+01	3.46618e-12	-8.94531e-02	7.07915e-02	1.59672e+00	2.06369e-01
107	1.13910e-01	1.29548e-02	7.73137e+01	1.45848e-18	-1.62184e-02	6.13271e-02	6.99381e-02	7.91427e-01
108	1.10001e-01	1.29387e-02	7.22789e+01	1.86839e-17	-5.35003e-02	6.39011e-02	7.00964e-01	4.02460e-01
109	1.02740e-01	1.29083e-02	6.33493e+01	1.73116e-15	-1.12976e-01	6.45490e-02	3.06330e+00	8.00789e-02
110	1.16473e-01	1.29654e-02	8.07004e+01	2.62669e-19	-3.24953e-02	6.19041e-02	2.75551e-01	5.99632e-01
111	1.17084e-01	1.29679e-02	8.15179e+01	1.73678e-19	-7.46756e-02	6.16006e-02	1.46956e+00	2.25415e-01
112	1.00774e-01	1.29001e-02	6.10255e+01	5.63404e-15	-1.33783e-01	6.37958e-02	4.39759e+00	3.59897e-02
113	1.25864e-01	1.30038e-02	9.36831e+01	3.70312e-22	-4.64973e-02	6.10587e-02	5.79908e-01	4.46349e-01
114	1.29096e-01	1.30169e-02	9.83590e+01	3.49004e-23	-8.58581e-02	5.88267e-02	2.13016e+00	1.44425e-01
115	1.06085e-01	1.29223e-02	6.73943e+01	2.22287e-16	-1.38273e-01	6.19389e-02	4.98364e+00	2.55881e-02
116	1.41032e-01	1.30647e-02	1.16530e+02	3.63786e-27	-5.46854e-02	5.87965e-02	8.65047e-01	3.52330e-01
117	1.44943e-01	1.30802e-02	1.22792e+02	1.54833e-28	-8.35919e-02	5.63858e-02	2.19780e+00	1.38208e-01
118	1.21547e-01	1.29862e-02	8.76041e+01	7.99573e-21	-1.23970e-01	5.90624e-02	4.40564e+00	3.58202e-02
119	1.48873e-01	1.30956e-02	1.29236e+02	6.02278e-30	-5.07155e-02	5.77470e-02	7.71299e-01	3.79816e-01
120	1.41621e-01	1.30670e-02	1.17463e+02	2.27278e-27	-8.12226e-02	5.68601e-02	2.04051e+00	1.53158e-01
121	1.57572e-01	1.31295e-02	1.44032e+02	3.49552e-33	-3.35921e-02	5.81662e-02	3.33529e-01	5.63588e-01
122	1.57449e-01	1.31291e-02	1.43817e+02	3.89547e-33	-4.61165e-02	5.64905e-02	6.66442e-01	4.14295e-01
123	1.36869e-01	1.30481e-02	1.10031e+02	9.64944e-26	-7.84126e-02	5.73678e-02	1.86825e+00	1.71676e-01
124	1.66026e-01	1.31621e-02	1.59112e+02	1.76887e-36	-2.17138e-02	5.66694e-02	1.46816e-01	7.01597e-01
125	1.59900e-01	1.31385e-02	1.48116e+02	4.47489e-34	-3.72777e-02	5.60475e-02	4.42369e-01	5.05981e-01
126	1.27780e-01	1.30116e-02	9.64416e+01	9.19175e-23	-6.87117e-02	5.95007e-02	1.33358e+00	2.48170e-01
